Year,Month,Day,Hour,Load_MW
2020,1,1,0,3.5001
2020,1,1,1,3.4635
2020,1,1,2,3.4757
2020,1,1,3,3.3228
2020,1,1,4,3.4533
2020,1,1,5,3.5274
2020,1,1,6,5.6401
2020,1,1,7,5.4911
2020,1,1,8,5.7832
2020,1,1,9,4.3533
2020,1,1,10,4.7143
2020,1,1,11,4.5488
2020,1,1,12,4.9938
2020,1,1,13,4.3097
2020,1,1,14,4.2964
2020,1,1,15,4.3503
2020,1,1,16,4.0084
2020,1,1,17,5.4585
2020,1,1,18,5.3891
2020,1,1,19,5.6316
2020,1,1,20,5.6726
2020,1,1,21,6.0916
2020,1,1,22,3.4977
2020,1,1,23,3.2404
2020,1,2,0,2.9940
2020,1,2,1,3.2119
2020,1,2,2,2.9278
2020,1,2,3,3.4243
2020,1,2,4,3.3196
2020,1,2,5,3.0612
2020,1,2,6,4.3917
2020,1,2,7,5.1283
2020,1,2,8,4.7721
2020,1,2,9,4.4286
2020,1,2,10,3.8408
2020,1,2,11,4.0515
2020,1,2,12,4.1808
2020,1,2,13,4.1956
2020,1,2,14,4.0976
2020,1,2,15,4.3256
2020,1,2,16,3.9711
2020,1,2,17,5.2026
2020,1,2,18,5.2676
2020,1,2,19,5.3708
2020,1,2,20,5.4184
2020,1,2,21,4.9417
2020,1,2,22,2.9070
2020,1,2,23,3.3570
2020,1,3,0,3.4711
2020,1,3,1,3.2890
2020,1,3,2,3.6872
2020,1,3,3,3.4416
2020,1,3,4,3.6209
2020,1,3,5,3.4284
2020,1,3,6,5.7748
2020,1,3,7,5.6948
2020,1,3,8,5.1664
2020,1,3,9,4.7771
2020,1,3,10,4.7164
2020,1,3,11,4.8993
2020,1,3,12,4.3800
2020,1,3,13,4.7770
2020,1,3,14,4.8769
2020,1,3,15,4.2336
2020,1,3,16,4.3702
2020,1,3,17,5.2180
2020,1,3,18,5.7362
2020,1,3,19,6.0275
2020,1,3,20,6.2602
2020,1,3,21,5.8527
2020,1,3,22,3.7889
2020,1,3,23,3.2665
2020,1,4,0,3.4785
2020,1,4,1,3.7999
2020,1,4,2,3.8891
2020,1,4,3,3.8069
2020,1,4,4,3.4141
2020,1,4,5,3.7828
2020,1,4,6,5.4385
2020,1,4,7,6.0043
2020,1,4,8,5.9079
2020,1,4,9,4.8111
2020,1,4,10,4.9326
2020,1,4,11,4.8115
2020,1,4,12,5.0861
2020,1,4,13,5.3757
2020,1,4,14,4.9016
2020,1,4,15,5.3003
2020,1,4,16,5.0434
2020,1,4,17,6.2364
2020,1,4,18,6.4813
2020,1,4,19,6.2128
2020,1,4,20,6.4010
2020,1,4,21,6.2100
2020,1,4,22,4.3675
2020,1,4,23,3.9973
2020,1,5,0,3.2722
2020,1,5,1,3.4294
2020,1,5,2,3.3741
2020,1,5,3,3.3534
2020,1,5,4,3.4903
2020,1,5,5,3.5098
2020,1,5,6,5.0444
2020,1,5,7,5.0327
2020,1,5,8,5.1175
2020,1,5,9,4.0008
2020,1,5,10,4.1898
2020,1,5,11,4.8528
2020,1,5,12,4.9225
2020,1,5,13,4.4888
2020,1,5,14,4.6639
2020,1,5,15,4.5884
2020,1,5,16,5.2066
2020,1,5,17,5.9597
2020,1,5,18,5.6228
2020,1,5,19,5.4103
2020,1,5,20,5.2498
2020,1,5,21,5.7778
2020,1,5,22,3.2976
2020,1,5,23,3.1708
2020,1,6,0,3.2900
2020,1,6,1,3.2010
2020,1,6,2,3.6498
2020,1,6,3,3.5000
2020,1,6,4,3.3395
2020,1,6,5,3.5758
2020,1,6,6,5.1144
2020,1,6,7,4.8686
2020,1,6,8,5.4714
2020,1,6,9,4.5464
2020,1,6,10,4.2061
2020,1,6,11,4.4120
2020,1,6,12,4.2739
2020,1,6,13,4.1718
2020,1,6,14,4.6956
2020,1,6,15,4.9195
2020,1,6,16,4.1796
2020,1,6,17,5.7754
2020,1,6,18,5.4382
2020,1,6,19,5.4768
2020,1,6,20,5.4325
2020,1,6,21,5.3384
2020,1,6,22,3.3466
2020,1,6,23,3.1955
2020,1,7,0,4.0092
2020,1,7,1,3.9512
2020,1,7,2,3.9218
2020,1,7,3,3.7917
2020,1,7,4,3.8600
2020,1,7,5,4.1275
2020,1,7,6,6.2598
2020,1,7,7,5.8241
2020,1,7,8,6.1704
2020,1,7,9,5.5434
2020,1,7,10,4.9066
2020,1,7,11,5.5210
2020,1,7,12,5.2213
2020,1,7,13,5.5801
2020,1,7,14,5.2390
2020,1,7,15,4.9652
2020,1,7,16,5.0202
2020,1,7,17,6.8520
2020,1,7,18,6.9244
2020,1,7,19,6.5308
2020,1,7,20,7.0585
2020,1,7,21,6.2760
2020,1,7,22,4.0932
2020,1,7,23,3.8581
2020,1,8,0,3.6920
2020,1,8,1,3.8229
2020,1,8,2,3.6426
2020,1,8,3,3.7257
2020,1,8,4,3.9820
2020,1,8,5,3.6673
2020,1,8,6,5.9921
2020,1,8,7,5.3797
2020,1,8,8,5.8094
2020,1,8,9,5.2509
2020,1,8,10,4.2897
2020,1,8,11,4.7027
2020,1,8,12,5.0461
2020,1,8,13,4.8515
2020,1,8,14,4.9888
2020,1,8,15,4.7467
2020,1,8,16,4.9023
2020,1,8,17,6.0208
2020,1,8,18,6.3825
2020,1,8,19,6.0860
2020,1,8,20,6.0897
2020,1,8,21,5.8571
2020,1,8,22,3.5080
2020,1,8,23,3.5302
2020,1,9,0,3.2680
2020,1,9,1,3.1461
2020,1,9,2,3.2693
2020,1,9,3,3.5619
2020,1,9,4,3.3653
2020,1,9,5,3.1679
2020,1,9,6,5.2344
2020,1,9,7,4.8371
2020,1,9,8,4.4316
2020,1,9,9,4.0774
2020,1,9,10,3.9002
2020,1,9,11,4.2358
2020,1,9,12,4.3244
2020,1,9,13,4.6858
2020,1,9,14,4.4061
2020,1,9,15,4.2907
2020,1,9,16,4.4996
2020,1,9,17,4.7673
2020,1,9,18,5.3818
2020,1,9,19,5.4935
2020,1,9,20,4.8745
2020,1,9,21,5.5491
2020,1,9,22,3.1981
2020,1,9,23,3.0774
2020,1,10,0,3.5813
2020,1,10,1,3.8574
2020,1,10,2,3.4882
2020,1,10,3,3.4872
2020,1,10,4,3.3462
2020,1,10,5,3.2629
2020,1,10,6,5.4185
2020,1,10,7,4.9654
2020,1,10,8,5.1946
2020,1,10,9,4.3839
2020,1,10,10,4.5920
2020,1,10,11,4.5561
2020,1,10,12,4.7104
2020,1,10,13,4.3639
2020,1,10,14,4.4176
2020,1,10,15,4.2589
2020,1,10,16,4.3818
2020,1,10,17,5.7115
2020,1,10,18,5.8264
2020,1,10,19,5.3668
2020,1,10,20,5.8794
2020,1,10,21,6.0251
2020,1,10,22,3.4580
2020,1,10,23,3.7140
2020,1,11,0,2.9590
2020,1,11,1,2.8927
2020,1,11,2,2.8185
2020,1,11,3,3.3369
2020,1,11,4,3.2177
2020,1,11,5,3.1204
2020,1,11,6,4.8824
2020,1,11,7,4.5601
2020,1,11,8,5.4382
2020,1,11,9,4.2498
2020,1,11,10,4.2545
2020,1,11,11,4.3941
2020,1,11,12,4.3483
2020,1,11,13,4.3027
2020,1,11,14,4.0926
2020,1,11,15,4.3705
2020,1,11,16,4.6782
2020,1,11,17,5.7083
2020,1,11,18,5.7745
2020,1,11,19,5.2117
2020,1,11,20,5.0838
2020,1,11,21,5.3038
2020,1,11,22,3.2024
2020,1,11,23,3.3659
2020,1,12,0,2.9226
2020,1,12,1,3.4441
2020,1,12,2,3.1874
2020,1,12,3,3.1637
2020,1,12,4,3.0860
2020,1,12,5,2.9897
2020,1,12,6,5.2105
2020,1,12,7,5.0194
2020,1,12,8,4.6754
2020,1,12,9,4.0616
2020,1,12,10,4.2729
2020,1,12,11,4.7085
2020,1,12,12,4.2836
2020,1,12,13,4.0028
2020,1,12,14,4.2603
2020,1,12,15,4.2398
2020,1,12,16,3.7060
2020,1,12,17,5.3216
2020,1,12,18,5.2635
2020,1,12,19,5.5065
2020,1,12,20,5.8092
2020,1,12,21,5.6171
2020,1,12,22,3.1498
2020,1,12,23,3.0203
2020,1,13,0,3.8845
2020,1,13,1,3.4590
2020,1,13,2,3.4536
2020,1,13,3,3.4518
2020,1,13,4,3.4998
2020,1,13,5,3.4523
2020,1,13,6,5.1898
2020,1,13,7,5.2005
2020,1,13,8,5.3416
2020,1,13,9,4.5168
2020,1,13,10,4.4683
2020,1,13,11,4.6485
2020,1,13,12,4.5586
2020,1,13,13,4.9579
2020,1,13,14,3.9944
2020,1,13,15,4.8561
2020,1,13,16,4.8984
2020,1,13,17,5.1735
2020,1,13,18,5.6769
2020,1,13,19,5.6725
2020,1,13,20,5.3805
2020,1,13,21,5.5665
2020,1,13,22,3.2866
2020,1,13,23,3.7951
2020,1,14,0,2.8919
2020,1,14,1,2.9483
2020,1,14,2,2.8838
2020,1,14,3,2.6369
2020,1,14,4,2.7287
2020,1,14,5,2.8746
2020,1,14,6,4.0341
2020,1,14,7,4.4349
2020,1,14,8,4.2051
2020,1,14,9,3.6120
2020,1,14,10,3.7884
2020,1,14,11,3.7217
2020,1,14,12,3.5603
2020,1,14,13,3.8253
2020,1,14,14,3.4203
2020,1,14,15,3.7296
2020,1,14,16,3.7307
2020,1,14,17,4.4620
2020,1,14,18,4.6061
2020,1,14,19,4.2398
2020,1,14,20,4.7120
2020,1,14,21,4.4219
2020,1,14,22,2.5730
2020,1,14,23,2.7430
2020,1,15,0,2.5378
2020,1,15,1,2.4183
2020,1,15,2,2.3830
2020,1,15,3,2.6545
2020,1,15,4,2.4079
2020,1,15,5,2.7899
2020,1,15,6,3.5102
2020,1,15,7,4.2376
2020,1,15,8,3.9385
2020,1,15,9,3.3675
2020,1,15,10,3.2942
2020,1,15,11,3.4567
2020,1,15,12,3.3878
2020,1,15,13,3.5841
2020,1,15,14,3.4161
2020,1,15,15,3.4197
2020,1,15,16,3.3274
2020,1,15,17,4.2210
2020,1,15,18,4.2982
2020,1,15,19,3.8770
2020,1,15,20,3.9567
2020,1,15,21,4.4037
2020,1,15,22,2.5732
2020,1,15,23,2.5318
2020,1,16,0,2.9214
2020,1,16,1,2.9716
2020,1,16,2,2.8442
2020,1,16,3,2.8178
2020,1,16,4,2.9694
2020,1,16,5,2.8093
2020,1,16,6,4.6423
2020,1,16,7,4.1837
2020,1,16,8,4.8331
2020,1,16,9,4.1155
2020,1,16,10,4.1105
2020,1,16,11,4.2949
2020,1,16,12,4.4632
2020,1,16,13,4.3383
2020,1,16,14,3.7542
2020,1,16,15,3.8675
2020,1,16,16,3.9914
2020,1,16,17,5.1459
2020,1,16,18,5.2684
2020,1,16,19,4.9456
2020,1,16,20,5.1724
2020,1,16,21,4.9133
2020,1,16,22,2.9679
2020,1,16,23,2.8482
2020,1,17,0,2.7848
2020,1,17,1,2.7242
2020,1,17,2,2.7811
2020,1,17,3,3.0866
2020,1,17,4,2.8049
2020,1,17,5,3.3536
2020,1,17,6,4.6726
2020,1,17,7,4.6119
2020,1,17,8,4.3767
2020,1,17,9,4.1099
2020,1,17,10,3.8539
2020,1,17,11,3.9923
2020,1,17,12,4.4729
2020,1,17,13,3.9407
2020,1,17,14,4.1873
2020,1,17,15,3.8205
2020,1,17,16,3.9584
2020,1,17,17,5.3993
2020,1,17,18,4.8046
2020,1,17,19,5.4020
2020,1,17,20,5.0923
2020,1,17,21,4.7359
2020,1,17,22,3.0140
2020,1,17,23,3.0659
2020,1,18,0,3.4623
2020,1,18,1,3.0965
2020,1,18,2,3.2335
2020,1,18,3,3.3092
2020,1,18,4,3.3358
2020,1,18,5,3.4546
2020,1,18,6,5.1871
2020,1,18,7,4.8015
2020,1,18,8,5.2429
2020,1,18,9,4.6072
2020,1,18,10,4.5926
2020,1,18,11,4.7090
2020,1,18,12,4.6538
2020,1,18,13,4.5767
2020,1,18,14,4.4646
2020,1,18,15,4.1200
2020,1,18,16,4.6093
2020,1,18,17,5.7193
2020,1,18,18,5.7577
2020,1,18,19,5.3366
2020,1,18,20,5.4113
2020,1,18,21,6.0344
