Year,Month,Day,Hour,T_ambient_C,Pressure_mbar
2020,1,1,0,-26.60,986
2020,1,1,1,-26.60,987
2020,1,1,2,-26.50,987
2020,1,1,3,-26.40,988
2020,1,1,4,-26.10,988
2020,1,1,5,-25.80,988
2020,1,1,6,-25.30,988
2020,1,1,7,-24.80,988
2020,1,1,8,-24.30,989
2020,1,1,9,-23.90,989
2020,1,1,10,-23.60,990
2020,1,1,11,-23.30,990
2020,1,1,12,-23.10,990
2020,1,1,13,-22.80,990
2020,1,1,14,-22.60,991
2020,1,1,15,-22.60,991
2020,1,1,16,-22.60,991
2020,1,1,17,-22.60,992
2020,1,1,18,-22.50,992
2020,1,1,19,-22.20,993
2020,1,1,20,-21.90,993
2020,1,1,21,-21.70,994
2020,1,1,22,-21.60,994
2020,1,1,23,-21.50,995
2020,1,2,0,-21.50,995
2020,1,2,1,-21.50,996
2020,1,2,2,-21.50,996
2020,1,2,3,-21.60,997
2020,1,2,4,-21.50,997
2020,1,2,5,-21.50,998
2020,1,2,6,-21.40,999
2020,1,2,7,-21.40,999
2020,1,2,8,-21.30,1000
2020,1,2,9,-21.20,1001
2020,1,2,10,-21.30,1001
2020,1,2,11,-21.40,1002
2020,1,2,12,-21.50,1002
2020,1,2,13,-21.70,1003
2020,1,2,14,-21.90,1004
2020,1,2,15,-22.00,1004
2020,1,2,16,-22.00,1005
2020,1,2,17,-21.90,1006
2020,1,2,18,-21.80,1006
2020,1,2,19,-21.80,1007
2020,1,2,20,-21.70,1007
2020,1,2,21,-21.80,1008
2020,1,2,22,-22.10,1008
2020,1,2,23,-22.40,1008
2020,1,3,0,-22.70,1008
2020,1,3,1,-22.80,1009
2020,1,3,2,-23.00,1009
2020,1,3,3,-23.00,1009
2020,1,3,4,-22.90,1009
2020,1,3,5,-22.80,1010
2020,1,3,6,-22.70,1010
2020,1,3,7,-22.70,1010
2020,1,3,8,-22.60,1010
2020,1,3,9,-22.80,1010
2020,1,3,10,-23.20,1010
2020,1,3,11,-23.70,1010
2020,1,3,12,-24.20,1010
2020,1,3,13,-24.70,1010
2020,1,3,14,-25.10,1010
2020,1,3,15,-25.40,1010
2020,1,3,16,-25.50,1010
2020,1,3,17,-25.60,1011
2020,1,3,18,-25.70,1011
2020,1,3,19,-25.80,1010
2020,1,3,20,-25.90,1010
2020,1,3,21,-26.10,1010
2020,1,3,22,-26.30,1010
2020,1,3,23,-26.50,1010
2020,1,4,0,-26.70,1010
2020,1,4,1,-27.00,1010
2020,1,4,2,-27.20,1010
2020,1,4,3,-27.10,1010
2020,1,4,4,-26.90,1010
2020,1,4,5,-26.60,1009
2020,1,4,6,-26.40,1009
2020,1,4,7,-26.20,1009
2020,1,4,8,-26.00,1009
2020,1,4,9,-26.10,1010
2020,1,4,10,-26.50,1010
2020,1,4,11,-27.00,1010
2020,1,4,12,-27.60,1010
2020,1,4,13,-28.40,1010
2020,1,4,14,-29.10,1010
2020,1,4,15,-29.50,1010
2020,1,4,16,-29.80,1010
2020,1,4,17,-30.20,1011
2020,1,4,18,-30.70,1011
2020,1,4,19,-31.50,1011
2020,1,4,20,-32.20,1012
2020,1,4,21,-32.70,1012
2020,1,4,22,-33.20,1012
2020,1,4,23,-33.70,1012
2020,1,5,0,-34.10,1012
2020,1,5,1,-34.20,1013
2020,1,5,2,-34.20,1013
2020,1,5,3,-34.10,1013
2020,1,5,4,-33.90,1013
2020,1,5,5,-33.70,1013
2020,1,5,6,-33.60,1013
2020,1,5,7,-33.60,1013
2020,1,5,8,-33.80,1014
2020,1,5,9,-34.10,1014
2020,1,5,10,-34.50,1014
2020,1,5,11,-34.80,1014
2020,1,5,12,-35.00,1013
2020,1,5,13,-34.90,1013
2020,1,5,14,-34.50,1013
2020,1,5,15,-34.00,1013
2020,1,5,16,-33.80,1013
2020,1,5,17,-33.90,1013
2020,1,5,18,-34.30,1014
2020,1,5,19,-34.90,1014
2020,1,5,20,-35.60,1014
2020,1,5,21,-35.90,1014
2020,1,5,22,-35.70,1014
2020,1,5,23,-35.10,1014
2020,1,6,0,-34.50,1014
2020,1,6,1,-33.80,1014
2020,1,6,2,-33.00,1014
2020,1,6,3,-32.40,1014
2020,1,6,4,-31.90,1015
2020,1,6,5,-31.40,1015
2020,1,6,6,-31.10,1015
2020,1,6,7,-30.90,1016
2020,1,6,8,-30.80,1016
2020,1,6,9,-31.00,1016
2020,1,6,10,-31.30,1016
2020,1,6,11,-31.90,1017
2020,1,6,12,-32.40,1017
2020,1,6,13,-32.80,1017
2020,1,6,14,-33.00,1017
2020,1,6,15,-33.10,1017
2020,1,6,16,-33.20,1017
2020,1,6,17,-33.20,1018
2020,1,6,18,-33.30,1018
2020,1,6,19,-33.10,1018
2020,1,6,20,-32.70,1018
2020,1,6,21,-32.20,1019
2020,1,6,22,-31.80,1019
2020,1,6,23,-31.60,1018
2020,1,7,0,-31.70,1018
2020,1,7,1,-31.90,1018
2020,1,7,2,-32.20,1018
2020,1,7,3,-32.30,1018
2020,1,7,4,-32.40,1018
2020,1,7,5,-32.50,1018
2020,1,7,6,-32.70,1019
2020,1,7,7,-33.10,1019
2020,1,7,8,-33.50,1019
2020,1,7,9,-33.60,1019
2020,1,7,10,-33.90,1019
2020,1,7,11,-34.50,1019
2020,1,7,12,-35.20,1018
2020,1,7,13,-35.90,1018
2020,1,7,14,-36.50,1018
2020,1,7,15,-36.80,1018
2020,1,7,16,-37.00,1018
2020,1,7,17,-37.10,1018
2020,1,7,18,-37.10,1017
2020,1,7,19,-37.20,1017
2020,1,7,20,-37.20,1017
2020,1,7,21,-37.30,1017
2020,1,7,22,-37.30,1016
2020,1,7,23,-37.30,1016
2020,1,8,0,-37.20,1016
2020,1,8,1,-37.10,1015
2020,1,8,2,-36.80,1015
2020,1,8,3,-36.50,1015
2020,1,8,4,-36.20,1015
2020,1,8,5,-35.60,1015
2020,1,8,6,-34.60,1015
2020,1,8,7,-33.30,1015
2020,1,8,8,-32.20,1015
2020,1,8,9,-31.50,1015
2020,1,8,10,-31.40,1016
2020,1,8,11,-31.50,1016
2020,1,8,12,-31.70,1016
2020,1,8,13,-31.60,1016
2020,1,8,14,-31.50,1016
2020,1,8,15,-31.40,1017
2020,1,8,16,-31.00,1017
2020,1,8,17,-30.20,1018
2020,1,8,18,-29.30,1019
2020,1,8,19,-28.80,1019
2020,1,8,20,-28.30,1020
2020,1,8,21,-28.10,1020
2020,1,8,22,-28.40,1021
2020,1,8,23,-28.90,1021
2020,1,9,0,-29.40,1021
2020,1,9,1,-29.80,1022
2020,1,9,2,-30.20,1022
