Year,Month,Day,Hour,GHI_Wm2,DNI_Wm2,DHI_Wm2,POA_Wm2,CF_pv,T_ambient_C
2020,1,1,0,0,0,0,0,0.0000,-26.6000
2020,1,1,1,0,0,0,0,0.0000,-26.6000
2020,1,1,2,0,0,0,0,0.0000,-26.5000
2020,1,1,3,0,0,0,0,0.0000,-26.4000
2020,1,1,4,0,0,0,0,0.0000,-26.1000
2020,1,1,5,0,0,0,0,0.0000,-25.8000
2020,1,1,6,0,0,0,0,0.0000,-25.3000
2020,1,1,7,0,0,0,0,0.0000,-24.8000
2020,1,1,8,0,0,0,0,0.0000,-24.3000
2020,1,1,9,0,0,0,0,0.0000,-23.9000
2020,1,1,10,0,0,0,0,0.0000,-23.6000
2020,1,1,11,0,0,0,0,0.0000,-23.3000
2020,1,1,12,0,0,0,0,0.0000,-23.1000
2020,1,1,13,0,0,0,0,0.0000,-22.8000
2020,1,1,14,0,0,0,0,0.0000,-22.6000
2020,1,1,15,0,0,0,0,0.0000,-22.6000
2020,1,1,16,0,0,0,0,0.0000,-22.6000
2020,1,1,17,0,0,0,0,0.0000,-22.6000
2020,1,1,18,0,0,0,0,0.0000,-22.5000
2020,1,1,19,0,0,0,0,0.0000,-22.2000
2020,1,1,20,0,0,0,0,0.0000,-21.9000
2020,1,1,21,0,0,0,0,0.0000,-21.7000
2020,1,1,22,0,0,0,0,0.0000,-21.6000
2020,1,1,23,0,0,0,0,0.0000,-21.5000
2020,1,2,0,0,0,0,0,0.0000,-21.5000
2020,1,2,1,0,0,0,0,0.0000,-21.5000
2020,1,2,2,0,0,0,0,0.0000,-21.5000
2020,1,2,3,0,0,0,0,0.0000,-21.6000
2020,1,2,4,0,0,0,0,0.0000,-21.5000
2020,1,2,5,0,0,0,0,0.0000,-21.5000
2020,1,2,6,0,0,0,0,0.0000,-21.4000
2020,1,2,7,0,0,0,0,0.0000,-21.4000
2020,1,2,8,0,0,0,0,0.0000,-21.3000
2020,1,2,9,0,0,0,0,0.0000,-21.2000
2020,1,2,10,0,0,0,0,0.0000,-21.3000
2020,1,2,11,0,0,0,0,0.0000,-21.4000
2020,1,2,12,0,0,0,0,0.0000,-21.5000
2020,1,2,13,0,0,0,0,0.0000,-21.7000
2020,1,2,14,0,0,0,0,0.0000,-21.9000
2020,1,2,15,0,0,0,0,0.0000,-22.0000
2020,1,2,16,0,0,0,0,0.0000,-22.0000
2020,1,2,17,0,0,0,0,0.0000,-21.9000
2020,1,2,18,0,0,0,0,0.0000,-21.8000
2020,1,2,19,0,0,0,0,0.0000,-21.8000
2020,1,2,20,0,0,0,0,0.0000,-21.7000
2020,1,2,21,0,0,0,0,0.0000,-21.8000
2020,1,2,22,0,0,0,0,0.0000,-22.1000
2020,1,2,23,0,0,0,0,0.0000,-22.4000
2020,1,3,0,0,0,0,0,0.0000,-22.7000
2020,1,3,1,0,0,0,0,0.0000,-22.8000
2020,1,3,2,0,0,0,0,0.0000,-23.0000
2020,1,3,3,0,0,0,0,0.0000,-23.0000
2020,1,3,4,0,0,0,0,0.0000,-22.9000
2020,1,3,5,0,0,0,0,0.0000,-22.8000
2020,1,3,6,0,0,0,0,0.0000,-22.7000
2020,1,3,7,0,0,0,0,0.0000,-22.7000
2020,1,3,8,0,0,0,0,0.0000,-22.6000
2020,1,3,9,0,0,0,0,0.0000,-22.8000
2020,1,3,10,0,0,0,0,0.0000,-23.2000
2020,1,3,11,0,0,0,0,0.0000,-23.7000
2020,1,3,12,0,0,0,0,0.0000,-24.2000
2020,1,3,13,0,0,0,0,0.0000,-24.7000
2020,1,3,14,0,0,0,0,0.0000,-25.1000
2020,1,3,15,0,0,0,0,0.0000,-25.4000
2020,1,3,16,0,0,0,0,0.0000,-25.5000
2020,1,3,17,0,0,0,0,0.0000,-25.6000
2020,1,3,18,0,0,0,0,0.0000,-25.7000
2020,1,3,19,0,0,0,0,0.0000,-25.8000
2020,1,3,20,0,0,0,0,0.0000,-25.9000
2020,1,3,21,0,0,0,0,0.0000,-26.1000
2020,1,3,22,0,0,0,0,0.0000,-26.3000
2020,1,3,23,0,0,0,0,0.0000,-26.5000
2020,1,4,0,0,0,0,0,0.0000,-26.7000
2020,1,4,1,0,0,0,0,0.0000,-27.0000
